timestamp,gaze_focus
1741598004.6683726,focused
1741598004.7095542,focused
1741598004.7628682,focused
1741598004.7973258,focused
1741598004.977996,focused
1741598005.0924256,focused
1741598005.1594145,focused
1741598005.4226613,focused
1741598005.4742687,focused
1741598005.523951,focused
1741598005.6613145,focused
1741598005.7633557,not_focused
1741598005.8186731,not_focused
1741598005.9414628,focused
1741598005.9881732,focused
1741598006.0305266,focused
1741598006.0890505,focused
1741598006.1261816,focused
1741598006.2522273,not_focused
1741598006.3209145,not_focused
1741598006.449963,focused
1741598006.4941802,focused
1741598006.5393214,focused
1741598006.6586707,focused
1741598006.702044,focused
1741598006.7525518,focused
1741598006.8026967,focused
1741598006.8435466,not_focused
1741598006.9877641,focused
1741598007.043252,focused
1741598007.1466942,focused
1741598007.201816,focused
1741598007.2371936,focused
1741598007.2738233,not_focused
1741598007.3151817,not_focused
1741598007.373979,focused
1741598007.5006824,focused
1741598007.558101,focused
1741598007.6059227,focused
1741598007.6610806,focused
1741598007.7934966,not_focused
1741598007.8327699,focused
1741598007.885508,not_focused
1741598007.9328146,not_focused
1741598007.9954348,not_focused
1741598008.070512,focused
1741598008.184191,focused
1741598008.2356906,focused
